@relation twitterModel 

@attribute twitterLength real 
@attribute haveKeyword {TRUE,FALSE}
@attribute language {en,und,fr,de,ja,zh}
@attribute followersCount real 
@attribute retweetCount real
@attribute favoriteCount real
@attribute haveHash {TRUE, FALSE}
@attribute read {TRUE, FALSE}



@data
34, TRUE, en,292,0,0,FALSE,FALSE
117, TRUE, en,292,0,0,FALSE,FALSE
44, TRUE, en,342,0,0,FALSE,FALSE
107, TRUE, en,367,0,0,FALSE,FALSE
58, FALSE, en,433,0,0,FALSE,FALSE
65, TRUE, en,463,0,0,FALSE,FALSE
123, TRUE, en,473,0,0,FALSE,FALSE
39, TRUE, en,518,0,0,FALSE,FALSE
139, TRUE, en,570,0,0,FALSE,FALSE
43, TRUE, en,599,0,0,FALSE,FALSE
92, TRUE, en,599,0,0,FALSE,FALSE
93, TRUE, en,603,0,0,FALSE,FALSE
33, FALSE, en,623,0,0,FALSE,FALSE
127, FALSE, en,623,0,0,FALSE,FALSE
128, FALSE, en,623,0,0,FALSE,FALSE
130, FALSE, en,623,0,0,FALSE,FALSE
133, FALSE, en,623,0,0,FALSE,FALSE
76, TRUE, en,784,0,0,FALSE,FALSE
142, TRUE, en,810,0,0,FALSE,FALSE
71, TRUE, en,818,0,0,FALSE,FALSE
39, FALSE, en,845,0,0,FALSE,FALSE
63, TRUE, en,870,0,0,FALSE,FALSE
83, TRUE, en,944,0,0,FALSE,FALSE
76, TRUE, en,988,0,0,FALSE,FALSE
140, TRUE, en,1006,0,0,FALSE,FALSE
108, TRUE, en,1091,0,0,FALSE,FALSE
14, FALSE, en,1357,0,0,FALSE,FALSE
109, TRUE, en,1357,0,0,FALSE,FALSE
77, FALSE, en,1475,0,0,FALSE,FALSE
105, FALSE, en,1475,0,0,FALSE,FALSE
141, TRUE, en,1560,0,0,FALSE,FALSE
85, TRUE, en,1570,0,0,FALSE,FALSE
46, TRUE, en,1897,0,0,FALSE,FALSE
99, FALSE, en,6274,0,0,FALSE,FALSE
82, FALSE, en,5,0,0,TRUE,FALSE
95, TRUE, en,85,0,0,TRUE,FALSE
97, TRUE, en,85,0,0,TRUE,FALSE
137, TRUE, en,96,0,0,TRUE,FALSE
142, TRUE, en,96,0,0,TRUE,FALSE
143, FALSE, en,103,0,0,TRUE,FALSE
144, FALSE, en,103,0,0,TRUE,FALSE
141, FALSE, en,105,0,0,TRUE,FALSE
142, FALSE, en,105,0,0,TRUE,FALSE
134, TRUE, en,105,0,0,TRUE,FALSE
145, FALSE, en,199,0,0,TRUE,FALSE
127, FALSE, en,362,0,0,TRUE,FALSE
73, TRUE, en,473,0,0,TRUE,FALSE
142, TRUE, en,473,0,0,TRUE,FALSE
109, TRUE, en,511,0,0,TRUE,FALSE
88, TRUE, en,561,0,0,TRUE,FALSE
91, TRUE, en,599,0,0,TRUE,FALSE
131, FALSE, en,623,0,0,TRUE,FALSE
134, FALSE, en,623,0,0,TRUE,FALSE
107, TRUE, en,837,0,0,TRUE,FALSE
144, TRUE, en,847,0,0,TRUE,FALSE
140, TRUE, en,1006,0,0,TRUE,FALSE
103, TRUE, en,1063,0,0,TRUE,FALSE
96, FALSE, en,2484,0,0,TRUE,FALSE
139, FALSE, en,34,0,0,TRUE,FALSE
142, TRUE, en,79,0,0,TRUE,FALSE
43, TRUE, en,85,0,0,TRUE,FALSE
140, TRUE, en,96,0,0,TRUE,FALSE
138, FALSE, en,103,0,0,TRUE,FALSE
105, TRUE, en,119,0,0,TRUE,FALSE
142, TRUE, en,139,0,0,TRUE,FALSE
80, FALSE, und,810,0,0,TRUE,FALSE
484, FALSE, und,1171,0,0,TRUE,FALSE
83, FALSE,fr,5,0,0,TRUE,FALSE
88, FALSE,fr,5,0,0,TRUE,FALSE
88, FALSE,fr,5,0,0,TRUE,FALSE
90, FALSE,fr,5,0,0,TRUE,FALSE
74, TRUE,fr,9,0,0,TRUE,FALSE
136, TRUE,fr,13,0,0,TRUE,FALSE
58, FALSE,zh,14,0,0,TRUE,FALSE
101, TRUE,zh,18,0,0,TRUE,FALSE
111, FALSE,zh,24,0,0,TRUE,FALSE
117, TRUE,zh,26,0,0,TRUE,FALSE
70, FALSE,zh,27,0,0,TRUE,FALSE
107, FALSE,zh,27,0,0,TRUE,FALSE
128, TRUE, en,50,0,0,TRUE,TRUE
112, TRUE, en,81,0,0,TRUE,TRUE
144, FALSE, en,103,0,0,TRUE,TRUE
104, TRUE, en,105,0,0,TRUE,TRUE
116, TRUE, en,105,0,0,TRUE,TRUE
131, FALSE, en,128,0,0,TRUE,TRUE
80, TRUE, en,157,0,0,TRUE,TRUE
188, FALSE, en,166,0,0,TRUE,TRUE
143, TRUE, en,282,0,0,TRUE,TRUE
130, TRUE, en,386,0,0,TRUE,TRUE
109, TRUE, en,397,0,0,TRUE,TRUE
84, FALSE, en,473,0,0,TRUE,TRUE
97, TRUE, en,473,0,0,TRUE,TRUE
140, TRUE, en,599,0,0,TRUE,TRUE
74, FALSE, en,623,0,0,TRUE,TRUE
101, FALSE, en,623,0,0,TRUE,TRUE
145, TRUE, en,810,0,0,TRUE,TRUE
